Transform(Location(x=-152.141205, y=91.056587, z=0.002262), Rotation(pitch=-0.064299, yaw=-179.640137, roll=0.054868))
Transform(Location(x=-172.434082, y=89.474373, z=0.002254), Rotation(pitch=-0.062599, yaw=-166.812134, roll=-0.169830))
Transform(Location(x=-186.094101, y=74.721237, z=0.057730), Rotation(pitch=0.023400, yaw=-118.760948, roll=-0.112671))
Transform(Location(x=-186.345978, y=54.518330, z=0.056858), Rotation(pitch=0.081279, yaw=-81.074768, roll=-0.006866))
Transform(Location(x=-185.878204, y=34.297543, z=0.056875), Rotation(pitch=0.078383, yaw=-90.246605, roll=0.003311))
Transform(Location(x=-185.969757, y=14.129554, z=0.053830), Rotation(pitch=-0.243407, yaw=-90.245354, roll=0.001672))
Transform(Location(x=-186.059875, y=-5.931366, z=0.031279), Rotation(pitch=0.123251, yaw=-90.245377, roll=0.036983))
Transform(Location(x=-186.153610, y=-26.393009, z=0.056936), Rotation(pitch=0.084073, yaw=-90.248154, roll=0.000814))
Transform(Location(x=-186.246689, y=-46.627842, z=0.056845), Rotation(pitch=0.084360, yaw=-90.248154, roll=0.000809))
Transform(Location(x=-186.321457, y=-67.365143, z=0.057333), Rotation(pitch=0.001489, yaw=-87.915253, roll=-0.157593))
Transform(Location(x=-182.212433, y=-87.008408, z=0.008568), Rotation(pitch=-0.266657, yaw=-44.561192, roll=-0.768127))
Transform(Location(x=-162.965973, y=-92.654030, z=0.001413), Rotation(pitch=0.081566, yaw=5.454020, roll=-0.004517))
Transform(Location(x=-143.069412, y=-88.541870, z=0.001992), Rotation(pitch=-0.016966, yaw=35.239689, roll=-0.448608))
Transform(Location(x=-133.307648, y=-71.030807, z=0.001786), Rotation(pitch=0.013114, yaw=98.934036, roll=0.007797))
Transform(Location(x=-136.477112, y=-50.898567, z=0.042971), Rotation(pitch=1.000035, yaw=98.900818, roll=-3.518373))
Transform(Location(x=-128.595871, y=-32.128376, z=0.001708), Rotation(pitch=0.038447, yaw=72.941681, roll=-0.434082))
Transform(Location(x=-123.113823, y=-12.608729, z=0.001525), Rotation(pitch=0.060311, yaw=64.811974, roll=0.435504))
Transform(Location(x=-107.959503, y=0.821237, z=0.002446), Rotation(pitch=-0.094113, yaw=13.913972, roll=0.495659))
Transform(Location(x=-87.701469, y=1.193667, z=0.001364), Rotation(pitch=0.090199, yaw=0.690151, roll=0.000679))
Transform(Location(x=-67.469048, y=1.431391, z=0.002179), Rotation(pitch=-0.047306, yaw=0.690207, roll=0.000610))
Transform(Location(x=-48.801758, y=-6.432076, z=0.033310), Rotation(pitch=0.035175, yaw=-49.393368, roll=0.001301))
Transform(Location(x=-46.353432, y=-26.751350, z=0.056782), Rotation(pitch=0.097159, yaw=-90.344536, roll=0.000671))
