Transform(Location(x=206.118622, y=-371.979065, z=0.001770), Rotation(pitch=0.010635, yaw=0.118766, roll=0.014872))
Transform(Location(x=226.251984, y=-372.061829, z=0.001783), Rotation(pitch=0.008319, yaw=-0.485321, roll=0.006626))
Transform(Location(x=246.905869, y=-372.134430, z=0.001884), Rotation(pitch=-0.008852, yaw=1.533636, roll=-0.066742))
Transform(Location(x=267.081970, y=-370.352112, z=0.002014), Rotation(pitch=-0.030818, yaw=9.328683, roll=-0.107208))
Transform(Location(x=286.995575, y=-366.306824, z=0.001932), Rotation(pitch=-0.016877, yaw=14.528310, roll=-0.071899))
Transform(Location(x=306.291443, y=-360.190826, z=0.001908), Rotation(pitch=-0.012848, yaw=22.360458, roll=-0.110870))
Transform(Location(x=324.334869, y=-350.867218, z=0.001893), Rotation(pitch=-0.010375, yaw=32.791531, roll=-0.102814))
Transform(Location(x=340.348328, y=-338.878143, z=0.001876), Rotation(pitch=-0.007568, yaw=39.836205, roll=-0.038361))
Transform(Location(x=355.454102, y=-325.114807, z=0.001869), Rotation(pitch=-0.006379, yaw=46.444447, roll=-0.083984))
Transform(Location(x=367.915222, y=-308.991425, z=0.001862), Rotation(pitch=-0.005280, yaw=58.004108, roll=-0.085266))
Transform(Location(x=377.409821, y=-290.846771, z=0.001856), Rotation(pitch=-0.004064, yaw=66.957718, roll=-0.070526))
Transform(Location(x=384.163849, y=-271.759674, z=0.001773), Rotation(pitch=0.010314, yaw=73.720985, roll=-0.046112))
Transform(Location(x=388.924103, y=-252.159149, z=0.001807), Rotation(pitch=0.004590, yaw=80.691498, roll=-0.096558))
Transform(Location(x=390.913818, y=-232.187500, z=0.001865), Rotation(pitch=-0.005314, yaw=89.049927, roll=-0.097565))
Transform(Location(x=390.290771, y=-211.976227, z=0.001857), Rotation(pitch=-0.004002, yaw=91.158066, roll=0.028102))
Transform(Location(x=390.008118, y=-191.495560, z=0.001827), Rotation(pitch=0.000833, yaw=89.820717, roll=0.019631))
Transform(Location(x=390.024048, y=-171.257736, z=0.001819), Rotation(pitch=0.002315, yaw=90.094025, roll=0.000515))
Transform(Location(x=390.015076, y=-150.933121, z=0.001769), Rotation(pitch=0.010833, yaw=90.204292, roll=-0.006378))
Transform(Location(x=389.784790, y=-130.562119, z=0.001781), Rotation(pitch=0.008954, yaw=90.897148, roll=-0.000946))
Transform(Location(x=389.590820, y=-110.459656, z=0.001791), Rotation(pitch=0.007117, yaw=90.347435, roll=0.000317))
Transform(Location(x=389.203064, y=-90.287498, z=0.001800), Rotation(pitch=0.005731, yaw=91.470909, roll=-0.002747))
Transform(Location(x=388.783508, y=-70.224930, z=0.001807), Rotation(pitch=0.004617, yaw=90.993591, roll=0.005119))
Transform(Location(x=388.488495, y=-49.937016, z=0.001996), Rotation(pitch=-0.027526, yaw=90.611801, roll=0.006095))
Transform(Location(x=388.122711, y=-29.932201, z=0.002120), Rotation(pitch=-0.048679, yaw=93.830048, roll=-0.079437))
Transform(Location(x=384.022217, y=-10.308561, z=0.002174), Rotation(pitch=0.014009, yaw=111.549416, roll=-0.128174))
Transform(Location(x=372.721619, y=6.488634, z=0.011424), Rotation(pitch=0.006919, yaw=136.689926, roll=-0.132721))
Transform(Location(x=355.203735, y=16.176111, z=0.219393), Rotation(pitch=0.761327, yaw=164.936523, roll=-0.290008))
Transform(Location(x=335.113708, y=18.226440, z=0.541216), Rotation(pitch=1.281699, yaw=177.152481, roll=-0.101410))
Transform(Location(x=314.944092, y=18.524750, z=1.078977), Rotation(pitch=1.805526, yaw=-178.747086, roll=0.001324))
Transform(Location(x=294.701630, y=17.993105, z=1.805042), Rotation(pitch=2.387506, yaw=-178.557434, roll=0.024206))
Transform(Location(x=274.606232, y=17.498220, z=2.709935), Rotation(pitch=2.896123, yaw=-178.325546, roll=0.026277))
Transform(Location(x=253.869934, y=16.863562, z=3.836160), Rotation(pitch=3.456697, yaw=-178.867493, roll=0.035429))
Transform(Location(x=233.552917, y=16.759916, z=5.056445), Rotation(pitch=3.491777, yaw=179.456757, roll=-0.061035))
Transform(Location(x=213.326401, y=16.802067, z=6.270846), Rotation(pitch=3.487556, yaw=-178.680191, roll=-0.038269))
Transform(Location(x=192.729202, y=16.091208, z=7.454712), Rotation(pitch=3.090920, yaw=-176.855835, roll=0.063190))
Transform(Location(x=172.063751, y=15.229590, z=8.472294), Rotation(pitch=2.614630, yaw=-178.691528, roll=0.060088))
Transform(Location(x=151.609222, y=14.715268, z=9.310441), Rotation(pitch=2.145444, yaw=-178.988861, roll=0.026682))
Transform(Location(x=130.371979, y=14.419932, z=9.999061), Rotation(pitch=1.653363, yaw=-179.894180, roll=0.010502))
Transform(Location(x=109.775108, y=14.351103, z=10.495097), Rotation(pitch=1.187148, yaw=179.997406, roll=-0.191223))
Transform(Location(x=88.654907, y=14.322721, z=10.805931), Rotation(pitch=0.857646, yaw=179.931351, roll=-0.076599))
Transform(Location(x=68.449951, y=14.298610, z=10.993079), Rotation(pitch=0.198069, yaw=-179.630112, roll=-0.022064))
Transform(Location(x=47.913738, y=14.141866, z=10.994062), Rotation(pitch=0.029254, yaw=-179.093124, roll=-0.023712))
Transform(Location(x=27.096142, y=13.861384, z=11.000651), Rotation(pitch=0.033092, yaw=-179.401718, roll=0.003481))
Transform(Location(x=6.026862, y=13.675537, z=10.985806), Rotation(pitch=-0.234590, yaw=-179.961563, roll=0.026505))
Transform(Location(x=-15.279909, y=13.625341, z=10.749115), Rotation(pitch=-0.962763, yaw=179.983841, roll=0.016623))
Transform(Location(x=-35.383560, y=13.623547, z=10.394802), Rotation(pitch=-0.979005, yaw=179.913818, roll=0.012061))
