Transform(Location(x=202.332809, y=-321.806213, z=0.021437), Rotation(pitch=-0.005676, yaw=90.875633, roll=-0.000244))
Transform(Location(x=202.330170, y=-321.638702, z=0.021451), Rotation(pitch=-0.004815, yaw=90.880173, roll=-0.000092))
Transform(Location(x=202.327530, y=-321.471283, z=0.021430), Rotation(pitch=-0.003880, yaw=90.883896, roll=0.000032))
Transform(Location(x=202.324905, y=-321.303284, z=0.021443), Rotation(pitch=-0.002930, yaw=90.886948, roll=0.000127))
Transform(Location(x=202.322266, y=-321.136200, z=0.021419), Rotation(pitch=-0.003238, yaw=90.889595, roll=0.000192))
Transform(Location(x=202.319626, y=-320.967041, z=0.021426), Rotation(pitch=-0.000676, yaw=90.891792, roll=0.000240))
Transform(Location(x=202.316971, y=-320.798187, z=0.021436), Rotation(pitch=-0.000307, yaw=90.893806, roll=0.000260))
Transform(Location(x=202.314331, y=-320.629822, z=0.021444), Rotation(pitch=-0.000731, yaw=90.895760, roll=0.000260))
Transform(Location(x=202.311691, y=-320.461548, z=0.021449), Rotation(pitch=-0.001011, yaw=90.897682, roll=0.000251))
Transform(Location(x=202.309036, y=-320.293060, z=0.021448), Rotation(pitch=-0.000826, yaw=90.899605, roll=0.000237))
Transform(Location(x=202.306381, y=-320.124115, z=0.021444), Rotation(pitch=-0.000219, yaw=90.901497, roll=0.000223))
Transform(Location(x=202.303665, y=-319.954437, z=0.021437), Rotation(pitch=0.000765, yaw=90.903404, roll=0.000209))
Transform(Location(x=202.300949, y=-319.783813, z=0.021429), Rotation(pitch=0.002029, yaw=90.905350, roll=0.000195))
Transform(Location(x=202.298218, y=-319.612030, z=0.021419), Rotation(pitch=0.003504, yaw=90.907303, roll=0.000183))
Transform(Location(x=202.295441, y=-319.438934, z=0.021408), Rotation(pitch=0.005116, yaw=90.909264, roll=0.000172))
Transform(Location(x=202.292648, y=-319.264404, z=0.021398), Rotation(pitch=0.006776, yaw=90.911232, roll=0.000162))
Transform(Location(x=202.289825, y=-319.088226, z=0.021413), Rotation(pitch=0.010068, yaw=90.913406, roll=-0.002106))
Transform(Location(x=202.286972, y=-318.910431, z=0.021511), Rotation(pitch=0.017478, yaw=90.915321, roll=-0.003296))
Transform(Location(x=202.284042, y=-318.730835, z=0.021671), Rotation(pitch=0.027375, yaw=90.917671, roll=-0.009216))
Transform(Location(x=202.281128, y=-318.549469, z=0.022036), Rotation(pitch=0.047442, yaw=90.919258, roll=-0.013458))
Transform(Location(x=202.278122, y=-318.366241, z=0.022410), Rotation(pitch=0.065133, yaw=90.921387, roll=-0.021271))
Transform(Location(x=202.275116, y=-318.181152, z=0.022737), Rotation(pitch=0.077864, yaw=90.923927, roll=-0.030731))
Transform(Location(x=202.272064, y=-317.994202, z=0.023138), Rotation(pitch=0.096149, yaw=90.925392, roll=-0.040771))
Transform(Location(x=202.268921, y=-317.805298, z=0.023100), Rotation(pitch=0.086900, yaw=90.926605, roll=-0.063324))
Transform(Location(x=202.265854, y=-317.614532, z=0.023029), Rotation(pitch=0.083376, yaw=90.928925, roll=-0.078156))
Transform(Location(x=202.262726, y=-317.421722, z=0.022931), Rotation(pitch=0.079148, yaw=90.931091, roll=-0.090088))
Transform(Location(x=202.259598, y=-317.227081, z=0.022889), Rotation(pitch=0.079339, yaw=90.933342, roll=-0.095032))
Transform(Location(x=202.256424, y=-317.030487, z=0.022838), Rotation(pitch=0.078417, yaw=90.935486, roll=-0.095551))
Transform(Location(x=202.253204, y=-316.832001, z=0.022802), Rotation(pitch=0.078281, yaw=90.938011, roll=-0.093353))
Transform(Location(x=202.249878, y=-316.631561, z=0.022819), Rotation(pitch=0.080856, yaw=90.941154, roll=-0.091431))
Transform(Location(x=202.246536, y=-316.429199, z=0.022887), Rotation(pitch=0.085350, yaw=90.944862, roll=-0.090240))
Transform(Location(x=202.243118, y=-316.224884, z=0.022987), Rotation(pitch=0.090643, yaw=90.949066, roll=-0.089325))
Transform(Location(x=202.239609, y=-316.018677, z=0.023176), Rotation(pitch=0.093123, yaw=90.953682, roll=-0.090729))
Transform(Location(x=202.236069, y=-315.810547, z=0.023468), Rotation(pitch=0.092235, yaw=90.958603, roll=-0.091339))
Transform(Location(x=202.232452, y=-315.600525, z=0.024014), Rotation(pitch=0.081027, yaw=90.963707, roll=-0.094360))
Transform(Location(x=202.228760, y=-315.388611, z=0.024660), Rotation(pitch=0.067687, yaw=90.969269, roll=-0.101410))
Transform(Location(x=202.225037, y=-315.174683, z=0.025295), Rotation(pitch=0.056458, yaw=90.975136, roll=-0.112335))
Transform(Location(x=202.221268, y=-314.958740, z=0.026012), Rotation(pitch=0.041493, yaw=90.981270, roll=-0.123199))
Transform(Location(x=202.217438, y=-314.740570, z=0.025984), Rotation(pitch=0.060024, yaw=90.987328, roll=-0.139862))
Transform(Location(x=202.213593, y=-314.520447, z=0.026090), Rotation(pitch=0.068316, yaw=90.993568, roll=-0.150482))
Transform(Location(x=202.209717, y=-314.298340, z=0.026137), Rotation(pitch=0.077919, yaw=91.000168, roll=-0.156494))
Transform(Location(x=202.205811, y=-314.074341, z=0.026217), Rotation(pitch=0.085698, yaw=91.006958, roll=-0.157928))
Transform(Location(x=202.201828, y=-313.848358, z=0.026296), Rotation(pitch=0.093348, yaw=91.013763, roll=-0.156372))
Transform(Location(x=202.197769, y=-313.620453, z=0.026459), Rotation(pitch=0.097385, yaw=91.020599, roll=-0.154327))
Transform(Location(x=202.193649, y=-313.390564, z=0.026695), Rotation(pitch=0.098867, yaw=91.027458, roll=-0.153046))
Transform(Location(x=202.189468, y=-313.158783, z=0.026953), Rotation(pitch=0.098061, yaw=91.034386, roll=-0.148651))
Transform(Location(x=202.185257, y=-312.925049, z=0.027189), Rotation(pitch=0.094584, yaw=91.041443, roll=-0.139496))
