Transform(Location(x=34.606030, y=-313.528809, z=0.001694), Rotation(pitch=-0.007903, yaw=-52.878796, roll=-0.014709))
Transform(Location(x=34.705093, y=-313.654907, z=0.001710), Rotation(pitch=-0.008668, yaw=-52.752304, roll=-0.013306))
Transform(Location(x=34.803707, y=-313.780151, z=0.001724), Rotation(pitch=-0.009248, yaw=-52.635479, roll=-0.011780))
Transform(Location(x=34.901871, y=-313.904602, z=0.001735), Rotation(pitch=-0.009644, yaw=-52.527962, roll=-0.010315))
Transform(Location(x=34.999630, y=-314.028381, z=0.001745), Rotation(pitch=-0.009856, yaw=-52.428852, roll=-0.009003))
Transform(Location(x=35.097019, y=-314.151489, z=0.001752), Rotation(pitch=-0.009890, yaw=-52.337536, roll=-0.007843))
Transform(Location(x=35.194107, y=-314.274109, z=0.001756), Rotation(pitch=-0.009678, yaw=-52.254509, roll=-0.006714))
Transform(Location(x=35.291012, y=-314.396423, z=0.001758), Rotation(pitch=-0.009159, yaw=-52.179314, roll=-0.005676))
Transform(Location(x=35.387840, y=-314.518616, z=0.001757), Rotation(pitch=-0.008333, yaw=-52.112293, roll=-0.004639))
Transform(Location(x=35.484776, y=-314.640900, z=0.001753), Rotation(pitch=-0.007172, yaw=-52.052177, roll=-0.003784))
Transform(Location(x=35.581997, y=-314.763519, z=0.001747), Rotation(pitch=-0.005649, yaw=-51.997971, roll=-0.003082))
Transform(Location(x=35.679634, y=-314.886658, z=0.001738), Rotation(pitch=-0.003880, yaw=-51.950916, roll=-0.002319))
Transform(Location(x=35.777798, y=-315.010529, z=0.001728), Rotation(pitch=-0.001953, yaw=-51.910633, roll=-0.001587))
Transform(Location(x=35.876587, y=-315.135254, z=0.001718), Rotation(pitch=0.000014, yaw=-51.876064, roll=-0.001007))
Transform(Location(x=35.976055, y=-315.260895, z=0.001708), Rotation(pitch=0.001933, yaw=-51.847702, roll=-0.000397))
Transform(Location(x=36.076233, y=-315.387543, z=0.001698), Rotation(pitch=0.003722, yaw=-51.824818, roll=0.000126))
Transform(Location(x=36.177166, y=-315.515198, z=0.001689), Rotation(pitch=0.005341, yaw=-51.806049, roll=0.000480))
Transform(Location(x=36.278885, y=-315.643890, z=0.001681), Rotation(pitch=0.006769, yaw=-51.789997, roll=0.000631))
Transform(Location(x=36.381416, y=-315.773560, z=0.001674), Rotation(pitch=0.007998, yaw=-51.775414, roll=0.000602))
Transform(Location(x=36.484783, y=-315.904266, z=0.001708), Rotation(pitch=0.009084, yaw=-51.760632, roll=0.000330))
Transform(Location(x=36.589020, y=-316.035919, z=0.001811), Rotation(pitch=0.010034, yaw=-51.744095, roll=-0.000183))
Transform(Location(x=36.694115, y=-316.168457, z=0.001859), Rotation(pitch=0.010635, yaw=-51.728718, roll=-0.000824))
Transform(Location(x=36.798965, y=-316.300598, z=0.001889), Rotation(pitch=0.008872, yaw=-51.701836, roll=-0.001495))
Transform(Location(x=36.903255, y=-316.431732, z=0.001906), Rotation(pitch=0.006024, yaw=-51.676445, roll=-0.002228))
Transform(Location(x=37.007771, y=-316.562836, z=0.001875), Rotation(pitch=0.004843, yaw=-51.644184, roll=-0.003143))
Transform(Location(x=37.113869, y=-316.695526, z=0.001871), Rotation(pitch=0.006120, yaw=-51.604172, roll=-0.004303))
Transform(Location(x=37.219788, y=-316.827698, z=0.001873), Rotation(pitch=0.005170, yaw=-51.559280, roll=-0.005005))
Transform(Location(x=37.325623, y=-316.959412, z=0.001874), Rotation(pitch=0.003770, yaw=-51.509602, roll=-0.005615))
Transform(Location(x=37.431545, y=-317.090851, z=0.001872), Rotation(pitch=0.002630, yaw=-51.454670, roll=-0.006287))
Transform(Location(x=37.537708, y=-317.222137, z=0.001868), Rotation(pitch=0.001919, yaw=-51.394218, roll=-0.007019))
Transform(Location(x=37.644215, y=-317.353424, z=0.001862), Rotation(pitch=0.001626, yaw=-51.328754, roll=-0.007690))
Transform(Location(x=37.751179, y=-317.484802, z=0.001855), Rotation(pitch=0.001660, yaw=-51.257553, roll=-0.008423))
Transform(Location(x=37.858677, y=-317.616333, z=0.001848), Rotation(pitch=0.001933, yaw=-51.180771, roll=-0.009125))
Transform(Location(x=37.966797, y=-317.748077, z=0.001840), Rotation(pitch=0.002363, yaw=-51.097610, roll=-0.009918))
Transform(Location(x=38.075588, y=-317.880035, z=0.001833), Rotation(pitch=0.002876, yaw=-51.007984, roll=-0.010712))
Transform(Location(x=38.185074, y=-318.012238, z=0.001827), Rotation(pitch=0.003367, yaw=-50.912159, roll=-0.011475))
Transform(Location(x=38.295261, y=-318.144592, z=0.001822), Rotation(pitch=0.003770, yaw=-50.808922, roll=-0.012390))
Transform(Location(x=38.406136, y=-318.277100, z=0.001819), Rotation(pitch=0.004030, yaw=-50.698662, roll=-0.013245))
Transform(Location(x=38.517635, y=-318.409607, z=0.001817), Rotation(pitch=0.004098, yaw=-50.581562, roll=-0.014069))
Transform(Location(x=38.629696, y=-318.542114, z=0.001816), Rotation(pitch=0.003941, yaw=-50.458080, roll=-0.014832))
Transform(Location(x=38.742214, y=-318.674377, z=0.001818), Rotation(pitch=0.003545, yaw=-50.329605, roll=-0.015411))
Transform(Location(x=38.855103, y=-318.806366, z=0.001820), Rotation(pitch=0.002964, yaw=-50.197678, roll=-0.015778))
Transform(Location(x=38.968269, y=-318.938049, z=0.001824), Rotation(pitch=0.002254, yaw=-50.064217, roll=-0.015869))
Transform(Location(x=39.081638, y=-319.069336, z=0.001828), Rotation(pitch=0.001482, yaw=-49.930973, roll=-0.015717))
Transform(Location(x=39.195137, y=-319.200195, z=0.001832), Rotation(pitch=0.000697, yaw=-49.800392, roll=-0.015259))
Transform(Location(x=39.308689, y=-319.330658, z=0.001836), Rotation(pitch=-0.000061, yaw=-49.674259, roll=-0.014557))
Transform(Location(x=39.422256, y=-319.460693, z=0.001840), Rotation(pitch=-0.000792, yaw=-49.553535, roll=-0.013733))
Transform(Location(x=39.535767, y=-319.590332, z=0.001844), Rotation(pitch=-0.001468, yaw=-49.440189, roll=-0.012665))
Transform(Location(x=39.649178, y=-319.719574, z=0.001848), Rotation(pitch=-0.002076, yaw=-49.334534, roll=-0.011536))
Transform(Location(x=39.762470, y=-319.848389, z=0.001851), Rotation(pitch=-0.002623, yaw=-49.236145, roll=-0.010498))
Transform(Location(x=39.875599, y=-319.976837, z=0.001854), Rotation(pitch=-0.003142, yaw=-49.145874, roll=-0.009369))
Transform(Location(x=39.988544, y=-320.104858, z=0.001856), Rotation(pitch=-0.003600, yaw=-49.063259, roll=-0.008331))
Transform(Location(x=40.101295, y=-320.232483, z=0.001858), Rotation(pitch=-0.004002, yaw=-48.987114, roll=-0.007446))
Transform(Location(x=40.213833, y=-320.359711, z=0.001860), Rotation(pitch=-0.004337, yaw=-48.917469, roll=-0.006622))
Transform(Location(x=40.326160, y=-320.486542, z=0.001862), Rotation(pitch=-0.004638, yaw=-48.853325, roll=-0.005920))
Transform(Location(x=40.438263, y=-320.613007, z=0.001863), Rotation(pitch=-0.004884, yaw=-48.793480, roll=-0.005402))
Transform(Location(x=40.550144, y=-320.739044, z=0.001865), Rotation(pitch=-0.005095, yaw=-48.737476, roll=-0.004974))
Transform(Location(x=40.661812, y=-320.864685, z=0.001866), Rotation(pitch=-0.005280, yaw=-48.684525, roll=-0.004669))
Transform(Location(x=40.773258, y=-320.989899, z=0.001867), Rotation(pitch=-0.005437, yaw=-48.633961, roll=-0.004456))
Transform(Location(x=40.884487, y=-321.114716, z=0.001867), Rotation(pitch=-0.005560, yaw=-48.585495, roll=-0.004272))
Transform(Location(x=40.996109, y=-321.239838, z=0.001829), Rotation(pitch=-0.004337, yaw=-48.538872, roll=-0.004242))
Transform(Location(x=41.109325, y=-321.366486, z=0.001826), Rotation(pitch=-0.001188, yaw=-48.493732, roll=-0.004303))
Transform(Location(x=41.222183, y=-321.492615, z=0.001834), Rotation(pitch=-0.000915, yaw=-48.449726, roll=-0.004150))
Transform(Location(x=41.334637, y=-321.618195, z=0.001843), Rotation(pitch=-0.001619, yaw=-48.406574, roll=-0.004028))
Transform(Location(x=41.446804, y=-321.743225, z=0.001850), Rotation(pitch=-0.002445, yaw=-48.363907, roll=-0.003967))
Transform(Location(x=41.558788, y=-321.867920, z=0.001855), Rotation(pitch=-0.003053, yaw=-48.321358, roll=-0.003998))
Transform(Location(x=41.670696, y=-321.992340, z=0.001857), Rotation(pitch=-0.003326, yaw=-48.278671, roll=-0.004089))
Transform(Location(x=41.782635, y=-322.116547, z=0.001857), Rotation(pitch=-0.003299, yaw=-48.235367, roll=-0.004242))
Transform(Location(x=41.894707, y=-322.240723, z=0.001855), Rotation(pitch=-0.003026, yaw=-48.191357, roll=-0.004395))
Transform(Location(x=42.006992, y=-322.364929, z=0.001852), Rotation(pitch=-0.002534, yaw=-48.146744, roll=-0.004547))
Transform(Location(x=42.119556, y=-322.489258, z=0.001847), Rotation(pitch=-0.001892, yaw=-48.101723, roll=-0.004669))
Transform(Location(x=42.232475, y=-322.613770, z=0.001843), Rotation(pitch=-0.001161, yaw=-48.056503, roll=-0.004761))
Transform(Location(x=42.345787, y=-322.738495, z=0.001838), Rotation(pitch=-0.000369, yaw=-48.011360, roll=-0.004791))
Transform(Location(x=42.459549, y=-322.863495, z=0.001833), Rotation(pitch=0.000464, yaw=-47.966717, roll=-0.004761))
Transform(Location(x=42.573799, y=-322.988922, z=0.001828), Rotation(pitch=0.001291, yaw=-47.922897, roll=-0.004669))
Transform(Location(x=42.688568, y=-323.114746, z=0.001823), Rotation(pitch=0.002111, yaw=-47.880100, roll=-0.004547))
Transform(Location(x=42.803905, y=-323.241058, z=0.001818), Rotation(pitch=0.002923, yaw=-47.838234, roll=-0.004425))
Transform(Location(x=42.919861, y=-323.367889, z=0.001813), Rotation(pitch=0.003743, yaw=-47.797127, roll=-0.004333))
Transform(Location(x=43.036518, y=-323.495300, z=0.001808), Rotation(pitch=0.004597, yaw=-47.756359, roll=-0.004303))
Transform(Location(x=43.153934, y=-323.623352, z=0.001802), Rotation(pitch=0.005498, yaw=-47.715614, roll=-0.004333))
Transform(Location(x=43.272209, y=-323.752167, z=0.001797), Rotation(pitch=0.006461, yaw=-47.674450, roll=-0.004425))
Transform(Location(x=43.391434, y=-323.881836, z=0.001790), Rotation(pitch=0.007493, yaw=-47.632122, roll=-0.004608))
Transform(Location(x=43.511719, y=-324.012390, z=0.001784), Rotation(pitch=0.008627, yaw=-47.588116, roll=-0.004852))
Transform(Location(x=43.633183, y=-324.143982, z=0.001777), Rotation(pitch=0.009849, yaw=-47.542343, roll=-0.005127))
Transform(Location(x=43.755932, y=-324.276703, z=0.001769), Rotation(pitch=0.011161, yaw=-47.494911, roll=-0.005402))
Transform(Location(x=43.880066, y=-324.410706, z=0.001761), Rotation(pitch=0.012554, yaw=-47.445633, roll=-0.005676))
Transform(Location(x=44.005726, y=-324.546112, z=0.001752), Rotation(pitch=0.014043, yaw=-47.394695, roll=-0.005920))
Transform(Location(x=44.133026, y=-324.682953, z=0.001743), Rotation(pitch=0.015607, yaw=-47.342632, roll=-0.006104))
Transform(Location(x=44.262066, y=-324.821472, z=0.001733), Rotation(pitch=0.017219, yaw=-47.289688, roll=-0.006256))
Transform(Location(x=44.392960, y=-324.961700, z=0.001724), Rotation(pitch=0.018879, yaw=-47.236126, roll=-0.006378))
Transform(Location(x=44.525814, y=-325.103760, z=0.001714), Rotation(pitch=0.020573, yaw=-47.182175, roll=-0.006470))
Transform(Location(x=44.660751, y=-325.247803, z=0.001704), Rotation(pitch=0.022287, yaw=-47.128101, roll=-0.006531))
Transform(Location(x=44.797855, y=-325.393951, z=0.001693), Rotation(pitch=0.024008, yaw=-47.073902, roll=-0.006592))
Transform(Location(x=44.937225, y=-325.542206, z=0.001684), Rotation(pitch=0.025688, yaw=-47.019398, roll=-0.006683))
Transform(Location(x=45.078938, y=-325.692719, z=0.001674), Rotation(pitch=0.027307, yaw=-46.964592, roll=-0.006775))
Transform(Location(x=45.223038, y=-325.845490, z=0.001665), Rotation(pitch=0.028844, yaw=-46.909622, roll=-0.006866))
Transform(Location(x=45.369568, y=-326.000549, z=0.001657), Rotation(pitch=0.030237, yaw=-46.854603, roll=-0.006927))
Transform(Location(x=45.518574, y=-326.157959, z=0.001650), Rotation(pitch=0.031487, yaw=-46.799362, roll=-0.007019))
Transform(Location(x=45.670067, y=-326.317719, z=0.001643), Rotation(pitch=0.032594, yaw=-46.743786, roll=-0.007141))
Transform(Location(x=45.824062, y=-326.479828, z=0.001638), Rotation(pitch=0.033557, yaw=-46.687851, roll=-0.007263))
Transform(Location(x=45.980576, y=-326.644257, z=0.001633), Rotation(pitch=0.034376, yaw=-46.631428, roll=-0.007416))
Transform(Location(x=46.139622, y=-326.811066, z=0.001629), Rotation(pitch=0.035073, yaw=-46.574390, roll=-0.007599))
Transform(Location(x=46.301201, y=-326.980194, z=0.001625), Rotation(pitch=0.035647, yaw=-46.516655, roll=-0.007782))
Transform(Location(x=46.465305, y=-327.151703, z=0.001622), Rotation(pitch=0.036111, yaw=-46.458160, roll=-0.007996))
Transform(Location(x=46.631962, y=-327.325470, z=0.001620), Rotation(pitch=0.036480, yaw=-46.398499, roll=-0.008270))
