Transform(Location(x=-480.592865, y=56.131092, z=0.002203), Rotation(pitch=-0.062442, yaw=-55.167561, roll=-0.155243))
Transform(Location(x=-466.174683, y=41.568123, z=0.001457), Rotation(pitch=0.064805, yaw=-38.870148, roll=-0.095551))
Transform(Location(x=-448.900391, y=31.351135, z=0.001843), Rotation(pitch=-0.000949, yaw=-25.828590, roll=-0.087646))
Transform(Location(x=-429.398743, y=26.838802, z=0.002082), Rotation(pitch=-0.041685, yaw=-5.294742, roll=-0.017029))
Transform(Location(x=-409.239441, y=26.253195, z=0.001895), Rotation(pitch=-0.009617, yaw=-0.016144, roll=0.000803))
Transform(Location(x=-388.907990, y=26.430124, z=0.000536), Rotation(pitch=-0.027765, yaw=0.897416, roll=-0.006866))
Transform(Location(x=-368.905579, y=26.762175, z=0.001689), Rotation(pitch=0.055591, yaw=0.583532, roll=-0.000275))
Transform(Location(x=-348.898193, y=26.629091, z=0.049686), Rotation(pitch=0.273904, yaw=-0.971649, roll=-0.003693))
Transform(Location(x=-328.348541, y=26.555325, z=0.212867), Rotation(pitch=0.707731, yaw=0.255610, roll=0.000170))
Transform(Location(x=-308.095764, y=26.641653, z=0.537258), Rotation(pitch=1.138053, yaw=0.245284, roll=0.002239))
Transform(Location(x=-287.678497, y=26.602997, z=1.017855), Rotation(pitch=1.547010, yaw=-0.400635, roll=-0.013184))
Transform(Location(x=-267.084808, y=26.506742, z=1.654709), Rotation(pitch=2.033135, yaw=0.414543, roll=-0.009399))
Transform(Location(x=-247.058334, y=27.158211, z=2.424956), Rotation(pitch=2.377220, yaw=3.010160, roll=0.106298))
Transform(Location(x=-226.942535, y=28.415300, z=3.344111), Rotation(pitch=2.862047, yaw=3.052284, roll=0.159290))
Transform(Location(x=-206.946793, y=29.225368, z=4.371236), Rotation(pitch=2.989943, yaw=1.899357, roll=0.095814))
Transform(Location(x=-186.424210, y=29.846846, z=5.435254), Rotation(pitch=2.976104, yaw=1.367668, roll=0.069966))
Transform(Location(x=-165.814529, y=30.450356, z=6.503717), Rotation(pitch=2.970265, yaw=2.932860, roll=0.122260))
Transform(Location(x=-145.683685, y=31.771673, z=7.547391), Rotation(pitch=2.965620, yaw=4.241359, roll=0.209541))
Transform(Location(x=-125.250076, y=33.188808, z=8.550811), Rotation(pitch=2.650024, yaw=2.785623, roll=0.001444))
Transform(Location(x=-105.106911, y=33.953735, z=9.129517), Rotation(pitch=1.162478, yaw=1.864094, roll=0.097147))
Transform(Location(x=-84.499245, y=34.548279, z=9.542105), Rotation(pitch=1.109311, yaw=1.347262, roll=0.035137))
Transform(Location(x=-63.919334, y=34.812962, z=9.906993), Rotation(pitch=0.978773, yaw=0.256202, roll=0.007709))
Transform(Location(x=-43.872391, y=34.827904, z=10.249826), Rotation(pitch=0.984736, yaw=-0.310974, roll=-0.004486))
Transform(Location(x=-23.688707, y=34.716579, z=10.596318), Rotation(pitch=0.983540, yaw=-0.399322, roll=-0.010162))
Transform(Location(x=-3.478854, y=34.588322, z=10.907852), Rotation(pitch=0.590982, yaw=-0.276306, roll=-0.009735))
Transform(Location(x=16.814724, y=34.571918, z=11.003245), Rotation(pitch=-0.015716, yaw=0.041947, roll=-0.002106))
Transform(Location(x=37.256233, y=34.615097, z=10.997096), Rotation(pitch=-0.021365, yaw=0.166064, roll=-0.001892))
Transform(Location(x=57.822395, y=34.693417, z=10.994303), Rotation(pitch=-0.001127, yaw=0.209000, roll=-0.052643))
Transform(Location(x=78.490646, y=34.775249, z=10.930252), Rotation(pitch=-0.534606, yaw=0.204563, roll=0.039475))
Transform(Location(x=99.147430, y=34.854683, z=10.640086), Rotation(pitch=-1.215576, yaw=0.214472, roll=0.207490))
Transform(Location(x=119.600655, y=34.932381, z=10.251597), Rotation(pitch=-1.063720, yaw=0.188243, roll=-0.153717))
Transform(Location(x=139.871201, y=35.006737, z=9.700381), Rotation(pitch=-1.855899, yaw=0.189640, roll=0.025044))
Transform(Location(x=160.095444, y=35.086887, z=8.965293), Rotation(pitch=-2.328459, yaw=0.292735, roll=0.024371))
Transform(Location(x=180.353271, y=35.324417, z=8.065147), Rotation(pitch=-2.802338, yaw=1.105862, roll=-0.016296))
Transform(Location(x=200.703903, y=35.850601, z=6.995142), Rotation(pitch=-3.271940, yaw=1.649942, roll=-0.040161))
Transform(Location(x=221.200287, y=36.432411, z=5.778388), Rotation(pitch=-3.444116, yaw=1.562179, roll=-0.035034))
Transform(Location(x=241.844604, y=37.009304, z=4.538341), Rotation(pitch=-3.443781, yaw=1.616841, roll=-0.039795))
Transform(Location(x=262.200623, y=37.571426, z=3.343131), Rotation(pitch=-3.240078, yaw=1.509675, roll=-0.029114))
Transform(Location(x=282.220062, y=38.021484, z=2.331630), Rotation(pitch=-2.679469, yaw=0.675089, roll=0.015517))
Transform(Location(x=302.398163, y=38.236076, z=1.495866), Rotation(pitch=-2.092312, yaw=0.496860, roll=0.017196))
Transform(Location(x=322.682556, y=38.418453, z=0.841828), Rotation(pitch=-1.597677, yaw=0.476731, roll=0.013455))
Transform(Location(x=342.885315, y=38.380203, z=0.382005), Rotation(pitch=-0.803497, yaw=-1.670014, roll=0.038253))
Transform(Location(x=362.891876, y=35.691719, z=0.136849), Rotation(pitch=-0.528957, yaw=-15.325608, roll=0.034587))
Transform(Location(x=380.874023, y=26.405521, z=0.016997), Rotation(pitch=-0.160059, yaw=-35.177555, roll=0.064796))
Transform(Location(x=395.428009, y=12.288527, z=0.008488), Rotation(pitch=-0.015259, yaw=-53.001816, roll=0.042258))
Transform(Location(x=405.037292, y=-5.290886, z=0.003577), Rotation(pitch=-0.023161, yaw=-67.468193, roll=0.010071))
Transform(Location(x=409.647919, y=-24.867258, z=0.001817), Rotation(pitch=0.003770, yaw=-85.178864, roll=0.032526))
Transform(Location(x=410.091095, y=-45.201920, z=0.001825), Rotation(pitch=0.002432, yaw=-90.501038, roll=0.009297))
Transform(Location(x=409.660797, y=-65.286102, z=0.001850), Rotation(pitch=-0.001708, yaw=-91.049866, roll=-0.004181))
Transform(Location(x=409.581909, y=-85.310104, z=0.001848), Rotation(pitch=-0.001188, yaw=-89.871101, roll=0.001317))
Transform(Location(x=409.674591, y=-105.369888, z=0.001846), Rotation(pitch=-0.000553, yaw=-89.402832, roll=-0.001495))
Transform(Location(x=409.936584, y=-125.600800, z=0.001830), Rotation(pitch=0.002145, yaw=-89.178558, roll=-0.001007))
Transform(Location(x=410.239471, y=-146.103958, z=0.001363), Rotation(pitch=0.081628, yaw=-89.233635, roll=0.002063))
Transform(Location(x=410.525116, y=-166.741089, z=0.001927), Rotation(pitch=-0.014460, yaw=-88.988716, roll=-0.006744))
Transform(Location(x=410.847839, y=-186.802185, z=0.001823), Rotation(pitch=0.003244, yaw=-89.528137, roll=0.009675))
Transform(Location(x=410.932953, y=-207.247177, z=0.001973), Rotation(pitch=-0.022369, yaw=-90.005035, roll=0.001871))
Transform(Location(x=410.880219, y=-227.532654, z=0.001803), Rotation(pitch=0.006571, yaw=-90.715820, roll=0.017194))
