Transform(Location(x=8.170506, y=-82.382301, z=0.001400), Rotation(pitch=0.076846, yaw=-90.421814, roll=0.000688))
Transform(Location(x=8.165550, y=-83.031609, z=0.001400), Rotation(pitch=0.076840, yaw=-90.410652, roll=-0.000061))
Transform(Location(x=8.160653, y=-83.684608, z=0.001400), Rotation(pitch=0.076826, yaw=-90.398071, roll=-0.000732))
Transform(Location(x=8.155814, y=-84.341286, z=0.001400), Rotation(pitch=0.076805, yaw=-90.384880, roll=-0.001282))
Transform(Location(x=8.151023, y=-85.001640, z=0.001400), Rotation(pitch=0.076778, yaw=-90.372154, roll=-0.001678))
Transform(Location(x=8.146264, y=-85.665680, z=0.001401), Rotation(pitch=0.076744, yaw=-90.361298, roll=-0.001862))
Transform(Location(x=8.141517, y=-86.333397, z=0.001401), Rotation(pitch=0.076710, yaw=-90.353569, roll=-0.001801))
Transform(Location(x=8.136768, y=-87.004784, z=0.001401), Rotation(pitch=0.076676, yaw=-90.349564, roll=-0.001587))
Transform(Location(x=8.132010, y=-87.679840, z=0.001401), Rotation(pitch=0.076628, yaw=-90.349365, roll=-0.001312))
Transform(Location(x=8.127234, y=-88.358566, z=0.001401), Rotation(pitch=0.076580, yaw=-90.352623, roll=-0.001007))
Transform(Location(x=8.122437, y=-89.040932, z=0.001402), Rotation(pitch=0.076532, yaw=-90.358887, roll=-0.000702))
Transform(Location(x=8.117608, y=-89.726967, z=0.001402), Rotation(pitch=0.076471, yaw=-90.367523, roll=-0.000397))
Transform(Location(x=8.112741, y=-90.416603, z=0.001403), Rotation(pitch=0.076334, yaw=-90.377861, roll=-0.000092))
Transform(Location(x=8.107829, y=-91.109604, z=0.001405), Rotation(pitch=0.075883, yaw=-90.389465, roll=0.000218))
Transform(Location(x=8.102857, y=-91.805573, z=0.001412), Rotation(pitch=0.074743, yaw=-90.402092, roll=0.000574))
Transform(Location(x=8.097816, y=-92.503845, z=0.001425), Rotation(pitch=0.072509, yaw=-90.415619, roll=0.000986))
Transform(Location(x=8.092697, y=-93.203545, z=0.001447), Rotation(pitch=0.068746, yaw=-90.429863, roll=0.001454))
Transform(Location(x=8.087530, y=-93.903564, z=0.001480), Rotation(pitch=0.063077, yaw=-90.442703, roll=0.001704))
Transform(Location(x=8.082327, y=-94.602814, z=0.001525), Rotation(pitch=0.055502, yaw=-90.453499, roll=0.001858))
Transform(Location(x=8.077084, y=-95.300430, z=0.001578), Rotation(pitch=0.046391, yaw=-90.462578, roll=0.002030))
Transform(Location(x=8.071800, y=-95.995682, z=0.001638), Rotation(pitch=0.036227, yaw=-90.470268, roll=0.002231))
Transform(Location(x=8.066459, y=-96.687973, z=0.001701), Rotation(pitch=0.025483, yaw=-90.477959, roll=0.002602))
Transform(Location(x=8.061062, y=-97.376884, z=0.001765), Rotation(pitch=0.014596, yaw=-90.485779, roll=0.002988))
Transform(Location(x=8.055620, y=-98.062080, z=0.001828), Rotation(pitch=0.003948, yaw=-90.493217, roll=0.003293))
Transform(Location(x=8.050144, y=-98.743393, z=0.001887), Rotation(pitch=-0.006134, yaw=-90.499855, roll=0.003491))
Transform(Location(x=8.044647, y=-99.420792, z=0.001941), Rotation(pitch=-0.015320, yaw=-90.505005, roll=0.003560))
Transform(Location(x=8.039143, y=-100.094452, z=0.001988), Rotation(pitch=-0.023311, yaw=-90.508003, roll=0.003476))
Transform(Location(x=8.033639, y=-100.764664, z=0.002026), Rotation(pitch=-0.029821, yaw=-90.508476, roll=0.003284))
Transform(Location(x=8.028145, y=-101.431793, z=0.002056), Rotation(pitch=-0.034786, yaw=-90.506371, roll=0.003019))
Transform(Location(x=8.022665, y=-102.096191, z=0.002076), Rotation(pitch=-0.038270, yaw=-90.501854, roll=0.002718))
Transform(Location(x=8.017203, y=-102.758209, z=0.002089), Rotation(pitch=-0.040407, yaw=-90.495293, roll=0.002393))
Transform(Location(x=8.011766, y=-103.418121, z=0.002095), Rotation(pitch=-0.041411, yaw=-90.487061, roll=0.002049))
Transform(Location(x=8.006362, y=-104.076187, z=0.002096), Rotation(pitch=-0.041534, yaw=-90.477562, roll=0.001697))
Transform(Location(x=8.000994, y=-104.732567, z=0.002093), Rotation(pitch=-0.041049, yaw=-90.467247, roll=0.001342))
Transform(Location(x=7.995674, y=-105.387360, z=0.002088), Rotation(pitch=-0.040189, yaw=-90.456421, roll=0.000976))
Transform(Location(x=7.990409, y=-106.040543, z=0.002082), Rotation(pitch=-0.039212, yaw=-90.445274, roll=0.000587))
Transform(Location(x=7.985208, y=-106.692085, z=0.002077), Rotation(pitch=-0.038297, yaw=-90.434052, roll=0.000189))
Transform(Location(x=7.980078, y=-107.341934, z=0.002073), Rotation(pitch=-0.037566, yaw=-90.422913, roll=-0.000214))
Transform(Location(x=7.975021, y=-107.990044, z=0.002069), Rotation(pitch=-0.036985, yaw=-90.412201, roll=-0.000580))
Transform(Location(x=7.970037, y=-108.636414, z=0.002067), Rotation(pitch=-0.036528, yaw=-90.402306, roll=-0.000885))
Transform(Location(x=7.965125, y=-109.281090, z=0.002064), Rotation(pitch=-0.036098, yaw=-90.393517, roll=-0.001129))
Transform(Location(x=7.960279, y=-109.924179, z=0.002061), Rotation(pitch=-0.035585, yaw=-90.386200, roll=-0.001312))
Transform(Location(x=7.955495, y=-110.565781, z=0.002057), Rotation(pitch=-0.034882, yaw=-90.380463, roll=-0.001434))
Transform(Location(x=7.950769, y=-111.206085, z=0.002051), Rotation(pitch=-0.033932, yaw=-90.376274, roll=-0.001526))
Transform(Location(x=7.946099, y=-111.845291, z=0.002044), Rotation(pitch=-0.032655, yaw=-90.373489, roll=-0.001587))
Transform(Location(x=7.941480, y=-112.483650, z=0.002034), Rotation(pitch=-0.031002, yaw=-90.371880, roll=-0.001648))
Transform(Location(x=7.936906, y=-113.121414, z=0.002022), Rotation(pitch=-0.028967, yaw=-90.371223, roll=-0.001678))
Transform(Location(x=7.932372, y=-113.758835, z=0.002008), Rotation(pitch=-0.026549, yaw=-90.371460, roll=-0.001678))
Transform(Location(x=7.927870, y=-114.396133, z=0.001992), Rotation(pitch=-0.023837, yaw=-90.372368, roll=-0.001648))
Transform(Location(x=7.923393, y=-115.033447, z=0.001975), Rotation(pitch=-0.020969, yaw=-90.373802, roll=-0.001587))
Transform(Location(x=7.918935, y=-115.670876, z=0.001958), Rotation(pitch=-0.018100, yaw=-90.375732, roll=-0.001495))
Transform(Location(x=7.914490, y=-116.308464, z=0.001942), Rotation(pitch=-0.015354, yaw=-90.378006, roll=-0.001373))
Transform(Location(x=7.910052, y=-116.946251, z=0.001927), Rotation(pitch=-0.012786, yaw=-90.380600, roll=-0.001221))
Transform(Location(x=7.905616, y=-117.584274, z=0.001913), Rotation(pitch=-0.010409, yaw=-90.383484, roll=-0.001038))
Transform(Location(x=7.901175, y=-118.222626, z=0.001900), Rotation(pitch=-0.008183, yaw=-90.386559, roll=-0.000854))
Transform(Location(x=7.896725, y=-118.861420, z=0.001887), Rotation(pitch=-0.005983, yaw=-90.389824, roll=-0.000641))
Transform(Location(x=7.892261, y=-119.500847, z=0.001874), Rotation(pitch=-0.003695, yaw=-90.393211, roll=-0.000427))
Transform(Location(x=7.887776, y=-120.141129, z=0.001859), Rotation(pitch=-0.001223, yaw=-90.396721, roll=-0.000214))
Transform(Location(x=7.883266, y=-120.782578, z=0.001843), Rotation(pitch=0.001585, yaw=-90.400352, roll=0.000005))
Transform(Location(x=7.878725, y=-121.425499, z=0.001824), Rotation(pitch=0.004774, yaw=-90.404076, roll=0.000221))
Transform(Location(x=7.874148, y=-122.070213, z=0.001803), Rotation(pitch=0.008292, yaw=-90.407898, roll=0.000433))
Transform(Location(x=7.869531, y=-122.716911, z=0.001781), Rotation(pitch=0.012048, yaw=-90.411774, roll=0.000639))
Transform(Location(x=7.864871, y=-123.365837, z=0.001758), Rotation(pitch=0.015948, yaw=-90.415680, roll=0.000835))
Transform(Location(x=7.860165, y=-124.017143, z=0.001735), Rotation(pitch=0.019896, yaw=-90.419472, roll=0.001001))
Transform(Location(x=7.855413, y=-124.671005, z=0.001712), Rotation(pitch=0.023817, yaw=-90.423096, roll=0.001150))
Transform(Location(x=7.850614, y=-125.327538, z=0.001690), Rotation(pitch=0.027635, yaw=-90.426575, roll=0.001292))
Transform(Location(x=7.845762, y=-125.986870, z=0.001668), Rotation(pitch=0.031330, yaw=-90.429985, roll=0.001425))
Transform(Location(x=7.840856, y=-126.649109, z=0.001647), Rotation(pitch=0.034861, yaw=-90.433281, roll=0.001552))
Transform(Location(x=7.835896, y=-127.314323, z=0.001627), Rotation(pitch=0.038208, yaw=-90.436523, roll=0.001671))
Transform(Location(x=7.830879, y=-127.982613, z=0.001609), Rotation(pitch=0.041364, yaw=-90.439735, roll=0.001780))
Transform(Location(x=7.825804, y=-128.654037, z=0.001591), Rotation(pitch=0.044321, yaw=-90.442894, roll=0.001880))
Transform(Location(x=7.820672, y=-129.328629, z=0.001575), Rotation(pitch=0.047060, yaw=-90.445976, roll=0.001971))
Transform(Location(x=7.815480, y=-130.006454, z=0.001560), Rotation(pitch=0.049608, yaw=-90.449059, roll=0.002054))
Transform(Location(x=7.810229, y=-130.687576, z=0.001546), Rotation(pitch=0.051957, yaw=-90.452148, roll=0.002129))
Transform(Location(x=7.804915, y=-131.372025, z=0.001534), Rotation(pitch=0.054122, yaw=-90.455200, roll=0.002197))
Transform(Location(x=7.799543, y=-132.059830, z=0.001522), Rotation(pitch=0.056110, yaw=-90.458260, roll=0.002258))
Transform(Location(x=7.794107, y=-132.751007, z=0.001511), Rotation(pitch=0.057927, yaw=-90.461311, roll=0.002312))
Transform(Location(x=7.788610, y=-133.445602, z=0.001501), Rotation(pitch=0.059580, yaw=-90.464363, roll=0.002361))
Transform(Location(x=7.783051, y=-134.143646, z=0.001493), Rotation(pitch=0.061096, yaw=-90.467407, roll=0.002407))
Transform(Location(x=7.777426, y=-134.845123, z=0.001484), Rotation(pitch=0.062476, yaw=-90.470459, roll=0.002447))
Transform(Location(x=7.771738, y=-135.550079, z=0.001477), Rotation(pitch=0.063719, yaw=-90.473511, roll=0.002482))
Transform(Location(x=7.765986, y=-136.258514, z=0.001470), Rotation(pitch=0.064859, yaw=-90.476555, roll=0.002516))
Transform(Location(x=7.760170, y=-136.970444, z=0.001464), Rotation(pitch=0.065877, yaw=-90.479614, roll=0.002547))
Transform(Location(x=7.754288, y=-137.685883, z=0.001459), Rotation(pitch=0.066799, yaw=-90.482704, roll=0.002577))
Transform(Location(x=7.748340, y=-138.404816, z=0.001454), Rotation(pitch=0.067626, yaw=-90.485779, roll=0.002604))
Transform(Location(x=7.742326, y=-139.127289, z=0.001450), Rotation(pitch=0.068370, yaw=-90.488861, roll=0.002629))
Transform(Location(x=7.736245, y=-139.853287, z=0.001445), Rotation(pitch=0.069040, yaw=-90.491966, roll=0.002652))
Transform(Location(x=7.730097, y=-140.582825, z=0.001442), Rotation(pitch=0.069641, yaw=-90.495087, roll=0.002675))
Transform(Location(x=7.723882, y=-141.315887, z=0.001439), Rotation(pitch=0.070180, yaw=-90.498230, roll=0.002697))
Transform(Location(x=7.717604, y=-142.052505, z=0.001436), Rotation(pitch=0.070658, yaw=-90.501091, roll=0.002680))
Transform(Location(x=7.711269, y=-142.792648, z=0.001433), Rotation(pitch=0.071082, yaw=-90.503296, roll=0.002602))
Transform(Location(x=7.704891, y=-143.536346, z=0.001431), Rotation(pitch=0.071457, yaw=-90.504158, roll=0.002421))
Transform(Location(x=7.698492, y=-144.283585, z=0.001429), Rotation(pitch=0.071778, yaw=-90.502769, roll=0.002083))
Transform(Location(x=7.692101, y=-145.034378, z=0.001427), Rotation(pitch=0.072065, yaw=-90.497864, roll=0.001527))
Transform(Location(x=7.685746, y=-145.788712, z=0.001426), Rotation(pitch=0.072325, yaw=-90.488586, roll=0.000787))
Transform(Location(x=7.679455, y=-146.546600, z=0.001424), Rotation(pitch=0.072543, yaw=-90.474304, roll=-0.000122))
Transform(Location(x=7.673262, y=-147.308029, z=0.001423), Rotation(pitch=0.072735, yaw=-90.454536, roll=-0.001190))
Transform(Location(x=7.667200, y=-148.073013, z=0.001422), Rotation(pitch=0.072892, yaw=-90.428986, roll=-0.002411))
Transform(Location(x=7.661305, y=-148.841537, z=0.001422), Rotation(pitch=0.073042, yaw=-90.397774, roll=-0.003754))
Transform(Location(x=7.655606, y=-149.613586, z=0.001421), Rotation(pitch=0.073165, yaw=-90.361458, roll=-0.005127))
Transform(Location(x=7.650135, y=-150.389191, z=0.001420), Rotation(pitch=0.073274, yaw=-90.320679, roll=-0.006561))
Transform(Location(x=7.644919, y=-151.168335, z=0.001420), Rotation(pitch=0.073363, yaw=-90.276421, roll=-0.007996))
Transform(Location(x=7.639983, y=-151.951019, z=0.001419), Rotation(pitch=0.073431, yaw=-90.229851, roll=-0.009369))
Transform(Location(x=7.635342, y=-152.737198, z=0.001419), Rotation(pitch=0.073459, yaw=-90.182648, roll=-0.010651))
Transform(Location(x=7.631012, y=-153.526810, z=0.001420), Rotation(pitch=0.073336, yaw=-90.135986, roll=-0.011810))
Transform(Location(x=7.627011, y=-154.319656, z=0.001422), Rotation(pitch=0.072926, yaw=-90.090965, roll=-0.012909))
Transform(Location(x=7.623350, y=-155.115448, z=0.001427), Rotation(pitch=0.072004, yaw=-90.048653, roll=-0.013886))
Transform(Location(x=7.620035, y=-155.913773, z=0.001437), Rotation(pitch=0.070344, yaw=-90.010193, roll=-0.014740))
Transform(Location(x=7.617064, y=-156.714020, z=0.001453), Rotation(pitch=0.067687, yaw=-89.976494, roll=-0.015442))
Transform(Location(x=7.614441, y=-157.515488, z=0.001475), Rotation(pitch=0.063808, yaw=-89.947975, roll=-0.016022))
Transform(Location(x=7.612165, y=-158.317307, z=0.001507), Rotation(pitch=0.058466, yaw=-89.924507, roll=-0.016541))
Transform(Location(x=7.610225, y=-159.118561, z=0.001547), Rotation(pitch=0.051609, yaw=-89.905724, roll=-0.016937))
Transform(Location(x=7.608621, y=-159.918335, z=0.001596), Rotation(pitch=0.043324, yaw=-89.889946, roll=-0.017334))
